period,quarterly – Milano (ITC45) – house price index (base 2015=100) - quarterly data – index number – H1 - all items (ISTAT/143_497/Q.ITC45.59.4.ALL)
2010-Q1,126.6
2010-Q2,128.5
2010-Q3,128.9
2010-Q4,127.5
2011-Q1,124.4
2011-Q2,125.2
2011-Q3,127.7
2011-Q4,124.5
2012-Q1,123.6
2012-Q2,122.3
2012-Q3,117.1
2012-Q4,116.2
2013-Q1,113.8
2013-Q2,111.0
2013-Q3,109.4
2013-Q4,108.2
2014-Q1,108.4
2014-Q2,106.4
2014-Q3,103.6
2014-Q4,102.0
2015-Q1,98.7
2015-Q2,97.5
2015-Q3,101.3
2015-Q4,102.5
2016-Q1,102.2
2016-Q2,103.0
2016-Q3,104.8
2016-Q4,104.5
2017-Q1,107.0
2017-Q2,106.8
2017-Q3,108.6
2017-Q4,107.1
2018-Q1,108.4
2018-Q2,110.3
2018-Q3,111.7
2018-Q4,111.8
2019-Q1,115.9
2019-Q2,117.9
2019-Q3,122.2
2019-Q4,125.8
2020-Q1,131.6
2020-Q2,136.7
2020-Q3,136.9
2020-Q4,135.1
2021-Q1,138.5
2021-Q2,138.6
2021-Q3,142.1
2021-Q4,143.5
2022-Q1,147.4
2022-Q2,150.2
2022-Q3,150.0
2022-Q4,152.7
2023-Q1,156.0
2023-Q2,160.9
2023-Q3,156.6
2023-Q4,159.0
